authority_id,issued_at,issued_by,latitude,longitude,location_name,incident_type,severity,title,description,affected_zones,affected_population,status,source
AUTH0001,2026-08-11T00:48:50Z,District_Authority_7,26.1445,91.7362,"Guwahati, Assam",relief_distribution,critical,"Official: Shelter Activation in Guwahati, Assam","Verified authority action in Guwahati, Assam district.",Z_26.1_91.7,40563,lifted,authority_portal
AUTH0002,2026-08-29T10:53:50Z,District_Authority_3,25.298,91.5825,"Mawsynram, Meghalaya",relief_distribution,critical,"Official: Road Closure in Mawsynram, Meghalaya","Verified authority action in Mawsynram, Meghalaya district.",Z_25.3_91.6,27453,lifted,authority_portal
AUTH0003,2026-09-07T21:13:50Z,District_Authority_6,26.1445,91.7362,"Guwahati, Assam",evacuation_order,moderate,"Official: Landslide Warning in Guwahati, Assam","Verified authority action in Guwahati, Assam district.",Z_26.1_91.7,34519,under_review,authority_portal
AUTH0004,2026-08-18T10:48:50Z,District_Authority_7,26.6338,92.7926,"Tezpur, Assam",rescue_operation,critical,"Official: Landslide Warning in Tezpur, Assam","Verified authority action in Tezpur, Assam district.",Z_26.6_92.8,43996,under_review,authority_portal
AUTH0005,2026-08-29T01:01:50Z,District_Authority_1,26.7509,94.2037,"Jorhat, Assam",evacuation_order,moderate,"Official: Relief Distribution in Jorhat, Assam","Verified authority action in Jorhat, Assam district.",Z_26.8_94.2,32995,active,authority_portal
AUTH0006,2026-08-16T14:34:50Z,District_Authority_4,25.5788,91.8933,"Shillong, Meghalaya",landslide_warning,high,"Official: Evacuation Order in Shillong, Meghalaya","Verified authority action in Shillong, Meghalaya district.",Z_25.6_91.9,33722,active,authority_portal
AUTH0007,2026-08-20T17:29:50Z,District_Authority_4,25.9,93.73,"Dimapur, Nagaland",road_closure,critical,"Official: Relief Distribution in Dimapur, Nagaland","Verified authority action in Dimapur, Nagaland district.",Z_25.9_93.7,38054,lifted,authority_portal
AUTH0008,2026-08-13T14:26:50Z,District_Authority_6,25.5788,91.8933,"Shillong, Meghalaya",road_closure,critical,"Official: Evacuation Order in Shillong, Meghalaya","Verified authority action in Shillong, Meghalaya district.",Z_25.6_91.9,7226,lifted,authority_portal
AUTH0009,2026-09-08T12:19:50Z,District_Authority_1,23.8315,91.2868,"Agartala, Tripura",road_closure,high,"Official: Rescue Operation in Agartala, Tripura","Verified authority action in Agartala, Tripura district.",Z_23.8_91.3,43399,under_review,authority_portal
AUTH0010,2026-08-10T19:31:50Z,District_Authority_1,27.3314,88.6138,"Gangtok, Sikkim",rescue_operation,critical,"Official: Landslide Warning in Gangtok, Sikkim","Verified authority action in Gangtok, Sikkim district.",Z_27.3_88.6,37210,under_review,authority_portal
